Submission Time,Submitted,Gamer,Reaction Time 1 (ms),Reaction Time 2 (ms),Typing Speed (wpm)
Late,2024-04-17 05:04:54 UTC,Yes,280,249,58
Late,2024-04-17 04:41:10 UTC,Yes,311,239,50
Late,2024-04-17 01:07:12 UTC,Yes,239,236,69
Late,2024-04-17 00:19:38 UTC,Yes,193,196,90
Late,2024-04-16 23:05:29 UTC,Yes,234,232,64
Late,2024-04-16 22:57:49 UTC,Yes,206,218,48
Late,2024-04-16 22:11:27 UTC,Yes,270,290,51
Early,2024-04-16 21:39:19 UTC,Yes,317,284,56
Early,2024-04-16 21:36:51 UTC,Yes,294,254,41
Early,2024-04-16 21:32:17 UTC,Yes,223,216,64
Early,2024-04-16 21:24:59 UTC,Yes,358,322,49
Early,2024-04-16 21:15:23 UTC,Yes,241,269,37
Early,2024-04-16 21:14:34 UTC,Yes,284,294,31
Early,2024-04-16 21:12:17 UTC,No,388,406,39
Early,2024-04-16 21:06:42 UTC,Yes,316,303,63
Early,2024-04-16 21:06:04 UTC,Yes,339,278,50
Early,2024-04-16 21:05:41 UTC,Yes,284,242,73
Early,2024-04-16 20:57:05 UTC,Yes,285,265,74
Early,2024-04-16 20:49:50 UTC,Yes,267,219,55
